vote date,resolution,topic,country
2022,S/2022/155,Ukraine,Russian Federation
2021,S/2021/990,International peace,Russian Federation
2020,S/2020/852,International peace,USA
2020,S/2020/667,Middle East,China
2020,S/2020/667,Middle East,Russian Federation
2020,S/2020/654,Middle East,China
2020,S/2020/654,Middle East,Russian Federation
2019,S/2019/961,Middle East,China
2019,S/2019/961,Middle East,Russian Federation
2019,S/2019/756,Middle East,China
2019,S/2019/756,Middle East,Russian Federation
2019,S/2019/186,Venezuela,China
2019,S/2019/186,Venezuela,Russian Federation
2018,S/2018/516,Palestine,USA
2018,S/2018/321,Middle East,Russian Federation
2018,S/2018/156,Middle East,Russian Federation
2017,S/2017/1060,Palestine,USA
2017,S/2017/970,Middle East,Russian Federation
2017,S/2017/962,Middle East,Russian Federation
2017,S/2017/884,Middle East,Russian Federation
2017,S/2017/315,Middle East,Russian Federation
2017,S/2017/172,Middle East,China
2017,S/2017/172,Middle East,Russian Federation
2016,S/2016/1026,Middle East,China
2016,S/2016/1026,Middle East,Russian Federation
2016,S/2016/846,Middle East,Russian Federation
2015,S/2015/562,Ukraine,Russian Federation
2015,S/2015/508,Bosnia and Herzegovina,Russian Federation
2014,S/2014/348,Syria,China
2014,S/2014/348,Syria,Russian Federation
2014,S/2014/189,Ukraine,Russian Federation
2012,S/2012/538,Syria,China
2012,S/2012/538,Syria,Russian Federation
2012,S/2012/77,Syria,China
2012,S/2012/77,Syria,Russian Federation
2011,S/2011/612,Syria,China
2011,S/2011/612,Syria,Russian Federation
2011,S/2011/24,Palestine,USA
2009,S/2009/310,Georgia,Russian Federation
2008,S/2008/447,Peace and Security - Africa (Zimbabwe),China
2008,S/2008/447,Peace and Security - Africa (Zimbabwe),Russian Federation
2007,"
S/2007/14",Myanmar,China
2007,"
S/2007/14",Myanmar,Russian Federation
2006,S/2006/878,Palestine,USA
2006,S/2006/508,Palestine,USA
2004,S/2004/783,Palestine,USA
2004,S/2004/313,Cyprus,Russian Federation
2004,S/2004/240,Palestine,USA
2003,S/2003/980,Palestine,USA
2003,S/2003/891,Palestine,USA
2002,S/2002/1385,Palestine,USA
2002,S/2002/712,Bosnia and Herzegovina,USA
2001,S/2001/1199,Palestine,USA
2001,S/2001/270,Palestine,USA
1999,S/1999/201,Yugoslav Republic of Macedonia,China
1997,S/1997/241,Occupied Arab territories,USA
1997,S/1997/199,Occupied Arab territories,USA
1997,S/1997/18,Central America,China
1995,S/1995/394,Occupied Arab territories,USA
1994,S/1994/1358,Bosnia and Herzegovina,Russian Federation
1993,S/25693,Cyprus,Russian Federation
